GRB,T90,comments,RA,Dec,z,X,O,R,refs
60512,8.6,"Nearby, lower-redshift galaxy. Moderately bright OT.",03:05.8,+41:11:27.24,2.1,y,y,,
90201,83,Very bright Swift burst with faint afterglow: candidate afterglow not confirmed.,08:12.5,-46:35:24.2,2.1,y,,n,
081203A,294,Very bright afterglow.,32:07.6,+63:31:14.9,2.1,y,y,n,2
130610A,46.4,"Early multicolor optical afterglow detection, extensive ground followup..",57:40.9,+28:12:23.1,2.092,y,y,,
061222A,72,Bright GRB with faint afterglow; shallow early decline.,53:03.4,+46:31:58.60,2.088,y,y,y,
150206A,83.2,,40:17.7,-63:10:55.6,2.087,y,y,,
80207,340,Image trigger. High-z-like light curve but large NH column. Very dark.,50:02.9,+07:30:06.7,2.0858,y,,,2
926,25,Faint host galaxy. X-ray excess: Compton scattering?,04:09.7,+51:47:10,2.066,y,y,y,12
150403A,40.9,LAT detection,46:01.1,-62:42:41.0,2.06,y,y,,
180325A,94.1,"Very luminous, reddened afterglow with 2175-A dust bump. Optical observations during main burst peak.",29:42.7,+24:27:49.3,2.04,,,,
140620A,,Fermi event with PTF afterglow (14cva),47:29.0,+49:43:51.3,2.04,y,y,,
70611,12,Late-rising afterglow.,07:58.0,-29:45:20.0,2.0394,y,y,,
000301C,10,Burst much shorter at higher energies. Faint host. Microlensing candidate.,20:18.6,+29:26:36,2.0335,,y,y,16
60108,14.4,"Very faint afterglow, seen only at long wavelengths. XRT offset.",48:02.0,+31:55:08.6,2.03,y,y,,3
161017A,216.3,"Bright optical afterglow with early observations, millimeter follow-up.",31:04.6,+43:07:36.3,2.013,y,y,n,
170705A,217.3,Extensive optical follow-up,46:49.0,+18:18:26.4,2.01,y,y,,
130612A,4,Soft burst; possibly much longer T90. Optical/IR afterglow.,19:10.6,+16:43:11.9,2.006,y,y,,
030115A,17.94,Extremely red afterglow and host galaxy.,18:32.6,+15:02:59.9,2,,y,y,5
080906A,147,Very far south.,12:10.7,-80:31:03.2,2,y,y,,
70224,34,Faint optical afterglow; early plateau?,56:06.7,-13:19:48.8,1.992,y,y,n,
30226,22.09,Break in afterglow; rapid late decline. Intervening absorbers.,33:04.9,+25:53:55.3,1.986,y,y,,9
140226A,15,Optical counterpart detected indepdently by PTF.,45:58.0,+14:59:35.4,1.98,y,y,,
150915A,164.7,Late optical peak.,18:37.8,-34:54:48.3,1.968,y,y,,1
170113A,20.66,Luminous host.,06:55.9,-71:56:34.9,1.968,y,y,,
81008,185.5,"Bright afterglow. Very bright, luminous host.",39:50.0,-57:25:52.0,1.967,y,y,n,4
