GRB,T90,comments,RA,Dec,z,X,O,R,refs
090814A,80,Relatively faint afterglow.,58:26.4,+25:37:52.4,0.696?,y,y,,
970228,3.6,First-ever detected GRB afterglow. Star-forming host.,01:46.6,+11:46:53.40,0.695,y,y,n,52
20405,40,Source in star-forming region. Polarization; radio flare. Associated supernova.,58:03.1,-31:22:21.90,0.695,,y,y,11
080916A,60,Relatively low redshift.,25:06.2,-57:01:22.8,0.6887,y,y,,
111209A,1400,Ultra-long. Bright flaring optical X-ray afterglow.,57:22.8,-46:48:04.2,0.677,y,y,y,7
050416A,2.4,XRF with star-forming host. No X-ray break until at least 40 days. Extremely bright late radio flare.,33:54.6,+21:03:26.27,0.6528,y,y,y,7
161129A,,Bright GRB with many satellite detections.,04:54.5,+32:08:05.9,0.645,y,y,,
131231A,31,Nearby Fermi/LAT burst with bright optical afterglow.,42:21.7,-01:39:10.61,0.642,y,y,,1
100418A,7,Relatively low redshift. SDSS host. Long optical plateau followed by sharp break.,05:27.1,+11:27:42.3,0.6235,y,y,y,8
110106B,24.8,Very faint i-band afterglow in early observations.,56:37.3,+47:00:10.49,0.618?,y,y,n,
070612A,370,Close to Sun; no Swift slew. Bright SDSS host but not low-z.,05:29.6,+37:16:15.2,0.617,,y,y,
050525A,10,Bright afterglow; probable late-time supernova signature.,32:32.6,+26:20:22.50,0.606,y,y,y,10
131103A,17.3,Relatively nearby. Probable bright host.,15:40.6,-44:38:25.4,0.599,y,y,,
130215A,65.7,"Bright, low-redshift. Early millimeter observations. Slow-fading late light curve.",54:00.7,+13:23:43.4,0.597,,y,,1
141212A,0.3,Short burst. Early radio nondetection,36:30.3,+18:08:48.3,0.596,y,,n,
150323A,149.6,Early optical observations. Host detected in emission.,32:42.8,+45:27:53.5,0.593,y,y,,
50223,23,"Dark burst with red, dusty (probable) host.",05:32.5,-62:28:21.07,0.5915,y,,,4
141004A,3.92,Swift/INTEGRAL burst. Moderately low-z. Possible faint associated SN.,06:56.2,49:10.8,0.573,y,y,,
